,RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
738,5.147676450061284,-0.5925348069873037,J2026.10,540,T,3,3.2,2.1274016925428897e-17
739,5.359538812630732,-0.7477875803277665,J2026.10,366,T,3,3.2,2.1112315782885045e-17
740,5.326322499781587,-0.5941121228913845,J2026.10,536,T,3,3.2,2.093670008838301e-17
743,5.126746971730892,-0.6696349846561045,J2026.10,446,T,3,3.2,1.8991136117246737e-17
747,5.18162482551116,-0.9410237945553914,J2026.10,127,T,3,3.2,1.805077030045605e-17
748,5.170531123350563,-0.9199855812482592,J2026.10,148,T,3,3.2,1.7383665308740968e-17
749,5.161989496942543,-0.7826360252896193,J2026.10,322,T,3,3.2,1.7336087970888306e-17
751,5.149649760935529,-0.7771035815027479,J2026.10,331,T,3,3.2,1.700686208216408e-17
752,5.374596438546011,-0.7099252646000876,J2026.10,392,T,3,3.2,1.632748889091755e-17
753,5.138708589828806,-0.6775976391050367,J2026.10,434,T,3,3.2,1.6320710077845698e-17
756,5.307898281969527,-0.5519204500551433,J2026.10,596,T,3,3.2,1.6134562477791634e-17
757,5.168090972914004,-0.6070699762750692,J2026.10,525,T,3,3.2,1.6105235335777528e-17
759,5.132386411979553,-0.9316866820798306,J2026.10,136,T,3,3.2,1.592575073322737e-17
761,5.336433767300588,-0.7048340124352109,J2026.10,399,T,3,3.2,1.562554230287282e-17
762,5.286137799256444,-0.9505406372240472,J2026.10,123,T,3,3.2,1.5555731119350726e-17
768,5.178526255920975,-0.7694474129114565,J2026.10,343,T,3,3.2,1.4823943946791545e-17
769,5.3343526993972725,-0.5800635779136455,J2026.10,562,T,3,3.2,1.4742972774311886e-17
770,5.330078338538775,-0.6875565645441511,J2026.10,419,T,3,3.2,1.4729993265937454e-17
773,5.1436924616876185,-0.7322751559742954,J2026.10,377,T,3,3.2,1.451465026394827e-17
774,5.130280852187037,-0.7668364109125031,J2026.10,346,T,3,3.2,1.449013451034587e-17
775,5.188149400268964,-0.7558425800395675,J2026.10,356,T,3,3.2,1.417043992927921e-17
776,5.185687340989722,-0.8171415395413427,J2026.10,282,T,3,3.2,1.4163458867539266e-17
